연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,105057911173.0,1344904441600.0,7.81
2018,275208711074.0,1444542180065.0,19.05
2019,308109119141.0,1667543278468.0,18.48
2020,397351014577.0,1897508265928.0,20.94
2021,379047289876.0,2292550472319.0,16.53
2022,486728116441.0,2639228832700.0,18.44
2023,384981955249.0,2955476949348.0,13.03
