연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,750385803694.0,4608244308771.0,16.28
2022,683876920374.0,5112850137557.0,13.38
2023,594060314352.0,5558820261031.0,10.69
