연도,당기순이익,자본총계,ROE (%)
2015,898137000000,7390638000000.0,12.15
2016,981478000000,8124645000000.0,12.08
2017,554829000000,8472938000000.0,6.55
2018,897862000000,8291856000000.0,10.83
2019,798931000000,8714982000000.0,9.17
2020,395574000000,8766378000000.0,4.51
2021,854101000000,9429291000000.0,9.06
2022,753815000000,9924277000000.0,7.6
2023,4817,,
