연도,당기순이익,자본총계,ROE (%)
2015,80313821209,2371705067623,3.39
2016,91019413577,2739265217820,3.32
2017,73136218332,2782737758480,2.63
2018,99818962065,3130737840373,3.19
2019,93833541248,3655245272225,2.57
2020,202298388452,4039942261540,5.01
2021,239190286694,4016357938933,5.96
2022,285343810348,4034308338662,7.07
2023,242876054885,4043096242871,6.01
