연도,당기순이익,자본총계,ROE (%)
2015,11188460046.0,4315383217913.0,0.26
2016,22914358716.0,4337585298432.0,0.53
2017,,,
2018,685018514202.0,,
2019,,,
2020,782931535078.0,,
2021,1491308954867.0,,
2022,1186828087730.0,,
2023,450482125173.0,,
