연도,당기순이익,자본총계,ROE (%)
2015,943775000000,13308244000000,7.09
2016,1274630000000,14220084000000,8.96
2017,2435559000000,16179511000000,15.05
2018,1882897000000,18164478000000,10.37
2019,1106755000000,19021021000000,5.82
2020,1540658000000,20861290000000,7.39
2021,2683974000000,21940221000000,12.23
2022,2115750000000,26234186000000,8.06
2023,8032,27016489000000,0.0
