연도,당기순이익,자본총계,ROE (%)
2015,115824128335,254057491085,45.59
2016,85493535543,341917315285,25.0
2017,104961599236,455797945687,23.03
2018,96113999904,558391531244,17.21
2019,143965439877,644650729765,22.33
2020,209655252129,794584512577,26.39
2021,420439748913,1106049706046,38.01
2022,747138338305,1638284078393,45.6
2023,264149250979,1740082437747,15.18
