연도,당기순이익,자본총계,ROE (%)
2015,1433982000000,12704956000000,11.29
2016,1316233000000,13462388000000,9.78
2017,2332632000000,14981510000000,15.57
2018,-91366000000,14886246000000,-0.61
2019,-3344242000000,12488281000000,-26.78
2020,-595098000000,12736939000000,-4.67
2021,1718885000000,14762501000000,11.64
2022,-3433370000000,11319227000000,-30.33
2023,-2576729000000,8770544000000,-29.38
