연도,당기순이익,자본총계,ROE (%)
2015,649120791773,4776851778224,13.59
2016,751861735662,5291124094581,14.21
2017,752095705287,5719429436643,13.15
2018,956530746332,6148552184370,15.56
2019,1036287769460,6725157088500,15.41
2020,886118053935,6859108164233,12.92
2021,857541761347,7443700632071,11.52
2022,1132080207483,8466969934914,13.37
2023,701325761022,8975571141939,7.81
