연도,당기순이익,자본총계,ROE (%)
2015,2035365000000,15374096000000,13.24
2016,2096139000000,16116430000000,13.01
2017,3403249000000,18029195000000,18.88
2018,3975966000000,22349250000000,17.79
2019,1162655000000,22823536000000,5.09
2020,1877040000000,24396243000000,7.69
2021,1718191000000,12335138000000,13.93
2022,1236152000000,12155196000000,10.17
2023,1145937000000,12228399000000,9.37
