연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,111581662000.0,2216201501000.0,5.03
2022,-34593268000.0,2174673266000.0,-1.59
2023,82158002000.0,2411660766000.0,3.41
