연도,당기순이익,자본총계,ROE (%)
2015,684519205360,5219368828324,13.11
2016,801691476331,5662704694368,14.16
2017,925732650537,6105650755376,15.16
2018,768730507442,6374527774875,12.06
2019,872402194153,6838391895409,12.76
2020,812413148037,7087028686312,11.46
2021,1139080147683,7734234462824,14.73
2022,881480750499,9231732116548,9.55
2023,533378688122,9642002868870,5.53
