연도,당기순이익,자본총계,ROE (%)
2015,364809833000,5385233285000,6.77
2016,528382402000,6060476866000,8.72
2017,584328749000,6143853335000,9.51
2018,1294186053000,7308212090000,17.71
2019,338791509000,9481480420000,3.57
2020,1178500191000,10166438997000,11.59
2021,1217786769000,10806800418000,11.27
2022,1245523117000,11529022641000,10.8
2023,559462096000,11779942250000,4.75
