연도,당기순이익,자본총계,ROE (%)
2015,5269121000000,21387703000000,24.64
2016,3216454000000,24023530000000,13.39
2017,13439566000000,33820919000000,39.74
2018,21341030000000,46852331000000,45.55
2019,2442726000000,47943195000000,5.1
2020,6237037000000,51909097000000,12.02
2021,13415987000000,62191058000000,21.57
2022,4002780000000,63290542000000,6.32
2023,-9137547000000,53503752000000,-17.08
