연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,265992162838.0,4598783172364.0,5.78
2021,561282597291.0,4991102140680.0,11.25
2022,1009024573715.0,8984474395157.0,11.23
2023,857691298384.0,9830492412345.0,8.72
