연도,당기순이익,자본총계,ROE (%)
2015,583375230992,4060893110426,14.37
2016,415419952405,4692940756235,8.85
2017,291350766050,4919526791397,5.92
2018,354827725045,5002167671297,7.09
2019,798233552413,5515130283816,14.47
2020,-118475194794,5057254722041,-2.34
2021,517574567042,5762451178886,8.98
2022,521874825260,6251779372631,8.35
2023,311968012608,6339988828490,4.92
