연도,당기순이익,자본총계,ROE (%)
2015,516986279000,2269578519000,22.78
2016,770907332526,4129598862940,18.67
2017,1195828988960,5305186234949,22.54
2018,1111672274838,5949140513293,18.69
2019,866722133963,6503926068580,13.33
2020,1633558910913,8255132035213,19.79
2021,2126399871701,24027376349275,8.85
2022,1083717091152,23450322480451,4.62
2023,6661,24237998815553,0.0
