연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,-540112448000.0,5360784621000.0,-10.08
2021,-814227962000.0,5594024949000.0,-14.56
2022,-421483784000.0,,
2023,24689214000.0,5207440310000.0,0.47
