연도,당기순이익,자본총계,ROE (%)
2015,593125000000,12983487000000,4.57
2016,721717000000,13356742000000,5.4
2017,2558112000000,14673684000000,17.43
2018,2008575000000,16306907000000,12.32
2019,528638000000,16425138000000,3.22
2020,2455643000000,17542125000000,14.0
2021,3543395000000,20098033000000,17.63
2022,2539811000000,22491997000000,11.29
2023,4004,23498536000000,0.0
