연도,당기순이익,자본총계,ROE (%)
2015,343073000000,1214450000000,28.25
2016,317134000000,1445576000000,21.94
2017,-320282339441,1140405156839,-28.08
2018,79660495141,1052906093393,7.57
2019,129453229751,1183160662241,10.94
2020,82489082021,1234279919655,6.68
2021,54405791113,1297444007438,4.19
2022,122121929956,1453216825866,8.4
2023,221401119895,1619940517277,13.67
