연도,당기순이익,자본총계,ROE (%)
2015,926727416651,15519998602128,5.97
2016,1130229912876,16363639021153,6.91
2017,1081284635744,17035523008008,6.35
2018,569810300585,33304917422605,1.71
2019,51650679738,17233740124645,0.3
2020,-503913957392,16693031341559,-3.02
2021,1505154568208,37042298365641,4.06
2022,1348558027452,19128542977421,7.05
2023,442983461011,19496000328022,2.27
