연도,당기순이익,자본총계,ROE (%)
2015,25685765743,11253192852845,0.23
2016,211111190212,10964110226958,1.93
2017,643193862964,11451999497442,5.62
2018,1036233637433,12225219216190,8.48
2019,564642231368,12660345195136,4.46
2020,803410633660,13358926888116,6.01
2021,1663335322229,15196699314855,10.95
2022,2039361447986,17217502156128,11.84
2023,2066046562201,19907249977522,10.38
