연도,당기순이익,자본총계,ROE (%)
2015,592591170825,3096765176386,19.14
2016,703860954470,3477446129579,20.24
2017,889341082363,3989517214023,22.29
2018,626313339919,4260167028391,14.7
2019,727331042228,4670280114445,15.57
2020,766549147869,5066368653160,15.13
2021,985210850125,5812412135354,16.95
2022,1597421189524,6879612287958,23.22
2023,1070090664293,7783923620253,13.75
