연도,당기순이익,자본총계,ROE (%)
2015,133541353000,2421189190000,5.52
2016,174633287000,2503652270000,6.98
2017,247961154000,2852476081000,8.69
2018,176085152000,2889538538000,6.09
2019,329978106000,3048060836000,10.83
2020,327169228000,3160873733000,10.35
2021,488700366000,3512139928000,13.91
2022,742146584000,4398127078000,16.87
2023,680419303000,6624761980000,10.27
