연도,당기순이익,자본총계,ROE (%)
2015,693755112592,7239363319612.0,9.58
2016,481867170762,8124169082794.0,5.93
2017,751363070131,8771401950938.0,8.57
2018,584966734046,8857496322740.0,6.6
2019,282102598156,10206740691587.0,2.76
2020,621795811695,10496578899630.0,5.92
2021,2113696722245,,
2022,1252483876283,,
2023,-187466317757,13834230770289.0,-1.36
