연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,7565405000000.0,
2021,777184000000.0,8742373000000.0,8.89
2022,995314000000.0,20593762000000.0,4.83
2023,1637985000000.0,24373509000000.0,6.72
