연도,당기순이익,자본총계,ROE (%)
2015,180415766483,4931158388212.0,3.66
2016,770943675548,5468326708929.0,14.1
2017,834534179123,6187473162378.0,13.49
2018,160444990066,6227096362051.0,2.58
2019,-237622602401,,
2020,451543040680,5967715490499.0,7.57
2021,855338282753,8201247119233.0,10.43
2022,366023151112,9896911559334.0,3.7
2023,-102033021229,9010546154819.0,-1.13
