연도,당기순이익,자본총계,ROE (%)
2015,4212662000000,25676240000000,16.41
2016,4111171000000,28557989000000,14.4
2017,2734383000000,29358958000000,9.31
2018,2474883000000,30703428000000,8.06
2019,3214294000000,32409622000000,9.92
2020,2117980000000,33328123000000,6.35
2021,3194542000000,35357474000000,9.03
2022,3362612000000,37807632000000,8.89
2023,3423309000000,40655299000000,8.42
