연도,당기순이익,자본총계,ROE (%)
2015,,,
2016,,,
2017,471494186835.0,4465268997694.0,10.56
2018,290439280390.0,4551535691025.0,6.38
2019,218400521973.0,4648340954892.0,4.7
2020,474639647463.0,5650596134173.0,8.4
2021,351177666997.0,6007658886345.0,5.85
2022,-941473679190.0,5621808454658.0,-16.75
2023,-303885236393.0,5079044788538.0,-5.98
