연도,당기순이익,자본총계,ROE (%)
2015,239509761853,1788935273299,13.39
2016,346073078203,1895507787972,18.26
2017,610242811228,2729239299785,22.36
2018,637349918660,2378971405124,26.79
2019,496153574499,2512165430801,19.75
2020,803256527995,3144687233156,25.54
2021,491328032737,3151226726374,15.59
2022,609050943296,3198548842532,19.04
2023,213914315973,3253028540550,6.58
