연도,당기순이익,자본총계,ROE (%)
2015,3100266000000,24204031000000,12.81
2016,3442034000000,26579424000000,12.95
2017,1140053000000,26861177000000,4.24
2018,1468644000000,27243464000000,5.39
2019,2531104000000,28978138000000,8.73
2020,1841358000000,29891672000000,6.16
2021,6393781000000,34912556000000,18.31
2022,7501993000000,39343081000000,19.07
2023,8777817000000,46558235000000,18.85
