연도,당기순이익,자본총계,ROE (%)
2015,46946097595,217287009625,21.61
2016,23945891358,212076348035,11.29
2017,38023279235,241466264104,15.75
2018,22336713204,239880205686,9.31
2019,-5678479934,217879448235,-2.61
2020,-218571039912,125313990940,-174.42
2021,-70446259772,57756127375,-121.97
2022,12,99701647938,0.0
2023,57304233651,159304079247,35.97
