연도,총부채,자본총계,부채비율 (%)
2015,14313499515000.0,17046336221000.0,83.97
2016,14276285724000.0,18305045259000.0,77.99
2017,14934270375000.0,19309332899000.0,77.34
2018,16757401405000.0,19327982665000.0,86.7
2019,21316432845000.0,18209623762000.0,117.06
2020,23039681023000.0,15458465083000.0,149.04
2021,29924245706000.0,19633194498000.0,152.42
2022,,,
2023,80835513251000.0,30019967513000.0,269.27
