연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,,,
2017,,,
2018,3018991446361.0,1844363617136.0,163.69
2019,2177817169241.0,2231733595853.0,97.58
2020,3373063231937.0,2743034678074.0,122.97
2021,3681097259241.0,2885280644903.0,127.58
2022,4434454285936.0,2901872323441.0,152.81
2023,7016268809820.0,3008017194695.0,233.25
