연도,총부채,자본총계,부채비율 (%)
2015,194366742142,152631557517,127.34
2016,166641931734,156127953626,106.73
2017,188764072121,159569857603,118.3
2018,188561032558,161718622420,116.6
2019,213983162684,164120883296,130.38
2020,215174666109,169743982389,126.76
2021,234171975254,182578397106,128.26
2022,224569291252,191576789148,117.22
2023,434900095454,200050480482,217.4
