연도,총부채,자본총계,부채비율 (%)
2015,23162784820939,8393525637729,275.96
2016,20763947017927,7900858124863,262.81
2017,21221322635551,7515155842826,282.38
2018,21827135227370,7048437845321,309.67
2019,22531061298279,6603648311679,341.19
2020,22408094225620,7709528729880,290.65
2021,17512799235250,8497052936499,206.1
2022,16017536857154,10297815766057,155.54
2023,17080070105878,11206738545707,152.41
