연도,총부채,자본총계,부채비율 (%)
2015,3912222823918,7555586074856,51.78
2016,6466016999469,9400817170432,68.78
2017,7296204039219,12254767061431,59.54
2018,7254811592591,13544327240513,53.56
2019,5989974765604,14053130391524,42.62
2020,5674190700686,13712355293944,41.38
2021,7418767512580,15451196495425,48.01
2022,9520345523797,17264242286783,55.14
2023,13243769644688,20232540579853,65.46
