연도,총부채,자본총계,부채비율 (%)
2015,2128783996099,2371705067623,89.76
2016,2781927820952,2739265217820,101.56
2017,3526210931546,2782737758480,126.72
2018,4737828934873,3130737840373,151.33
2019,5454770837946,3655245272225,149.23
2020,5603556698067,4039942261540,138.7
2021,4977570577451,4016357938933,123.93
2022,5658991479602,4034308338662,140.27
2023,9357587266747,4043096242871,231.45
