연도,총부채,자본총계,부채비율 (%)
2015,2149282679311,1765054993909,121.77
2016,2545243040452,1778476017442,143.11
2017,3926706308999,1950782677553,201.29
2018,3637832042030,2118235198917,171.74
2019,3566176252062,2204604257510,161.76
2020,3610912434530,2427687837098,148.74
2021,4427146647365,3314206193932,133.58
2022,5527824867091,4265792959339,129.58
2023,11204306000000,4714575000000,237.65
