연도,총부채,자본총계,부채비율 (%)
2015,9872204000000,12704956000000,77.7
2016,11421948000000,13462388000000,84.84
2017,14178177000000,14981510000000,94.64
2018,18289464000000,14886246000000,122.86
2019,23086282000000,12488281000000,184.86
2020,22334584000000,12736939000000,175.35
2021,23392014000000,14762501000000,158.46
2022,24366792000000,11319227000000,215.27
2023,35759298000000,8770544000000,407.72
