연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,1026856415552.0,4608244308771.0,22.28
2022,917461503208.0,5112850137557.0,17.94
2023,881636358567.0,5558820261031.0,15.86
