연도,총부채,자본총계,부채비율 (%)
2015,287067069966,196918263886,145.78
2016,308173294312,189482511224,162.64
2017,363263454810,204765773170,177.4
2018,476241545763,199869893213,238.28
2019,789676410105,180771070569,436.84
2020,577946924234,135039045410,427.99
2021,372839457346,85327526551,436.95
2022,355727792522,123307301140,288.49
2023,485292298418,159304079247,304.63
