연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,8438873228000.0,5360784621000.0,157.42
2021,9484646542000.0,5594024949000.0,169.55
2022,11001578566000.0,,
2023,11926177799000.0,5207440310000.0,229.02
