연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,400229387487.0,1741701996063.0,22.98
2023,148583863708.0,1703855316376.0,8.72
