연도,총부채,자본총계,부채비율 (%)
2015,11959465000000,7390638000000.0,161.82
2016,11748798000000,8124645000000.0,144.61
2017,9958964000000,8472938000000.0,117.54
2018,9762753000000,8291856000000.0,117.74
2019,9511990000000,8714982000000.0,109.15
2020,9172896000000,8766378000000.0,104.64
2021,10207973000000,9429291000000.0,108.26
2022,10987431000000,9924277000000.0,110.71
2023,23714495000000,,
