연도,총부채,자본총계,부채비율 (%)
2015,56556559000000,40077250000000,141.12
2016,60720613000000,42326724000000,143.46
2017,64020500000000,45756420000000,139.92
2018,68569119000000,50887872000000,134.75
2019,79838041000000,52182635000000,153.0
2020,85778459000000,51859918000000,165.4
2021,99815712000000,65565149000000,152.24
2022,122697070000000,71808790000000,170.87
2023,129091214000000,77879050000000,165.76
