연도,총부채,자본총계,부채비율 (%)
2015,21776082000000,24204031000000,89.97
2016,24309836000000,26579424000000,91.46
2017,25433261000000,26861177000000,94.68
2018,24543141000000,27243464000000,90.09
2019,26366660000000,28978138000000,90.99
2020,30598771000000,29891672000000,102.37
2021,31937441000000,34910429000000,91.48
2022,34367884000000,39337938000000,87.37
2023,34069591000000,46558235000000,73.18
