연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,968322606000.0,2216201501000.0,43.69
2022,1322662099000.0,2174673266000.0,60.82
2023,1672154317000.0,2411660766000.0,69.34
