연도,총부채,자본총계,부채비율 (%)
2015,3857275265150,4060893110426,94.99
2016,5261597935408,4692940756235,112.12
2017,5232178310572,4919526791397,106.36
2018,6099112835740,5002167671297,121.93
2019,7503358313766,5515130283816,136.05
2020,7711856252229,5057254722041,152.49
2021,7882059338197,5762451178886,136.78
2022,8096632950057,6251779372631,129.51
2023,14751983355128,6339988828490,232.68
