연도,총부채,자본총계,부채비율 (%)
2015,1862814913893,2243360869688,83.04
2016,3311673751474,2340764614732,141.48
2017,3566619939625,2180953220969,163.53
2018,4760935791485,2635750421463,180.63
2019,5853055428024,2855355292247,204.99
2020,6475090147420,2989725530836,216.58
2021,7114272103768,3931558526792,180.95
2022,11233518424948,3923783553861,286.29
2023,14858674607799,4684225317909,317.21
