연도,총부채,자본총계,부채비율 (%)
2015,1593708000000,1214450000000,131.23
2016,1535264000000,1445576000000,106.2
2017,2025817851673,1140405156839,177.64
2018,2702957417629,1052906093393,256.71
2019,3183974946284,1183160662241,269.11
2020,3924790737693,1234279919655,317.98
2021,4557779985276,1297444007438,351.29
2022,6319189867558,1453216825866,434.84
2023,7139576928721,1619940517277,440.73
