연도,총부채,자본총계,부채비율 (%)
2015,730586220656,254057491085,287.57
2016,644871256989,341917315285,188.6
2017,538152774709,455797945687,118.07
2018,508142308509,558391531244,91.0
2019,444239079806,644650729765,68.91
2020,383996684604,794584512577,48.33
2021,443888189808,1106049706046,40.13
2022,484416396415,1638284078393,29.57
2023,2043378694132,1740082437747,117.43
