연도,총부채,자본총계,부채비율 (%)
2015,603002737682,2585474995627,23.32
2016,1781173329468,3702943850948,48.1
2017,1841608649520,4507819805367,40.85
2018,2332384540899,5627157564368,41.45
2019,2997138004486,5225359119201,57.36
2020,4542386717365,6283700331669,72.29
2021,9216225462911,9964627991241,92.49
2022,9447968971124,9983694054133,94.63
2023,11321369715195,13858599224126,81.69
