연도,총부채,자본총계,부채비율 (%)
2015,1659920185025,1799441253213,92.25
2016,1974831434146,1884906087160,104.77
2017,2088135769997,2031445140343,102.79
2018,3224124651287,2131656180687,151.25
2019,4744866815510,2337502197144,202.99
2020,5567975657008,2239435377415,248.63
2021,5757074853164,2476658008596,232.45
2022,6728917210972,2369866116572,283.94
2023,6735917853522,2508486580608,268.53
