연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,1376589006783.0,611229301328.0,225.22
2017,1170919113567.0,1704084366071.0,68.71
2018,1313090664811.0,1635478494404.0,80.29
2019,1183011066877.0,1665893807239.0,71.01
2020,1806768713483.0,1932929744779.0,93.47
2021,1808926624572.0,2105767609017.0,85.9
2022,2392807160111.0,147178481568.0,1625.79
2023,,,
