연도,총부채,자본총계,부채비율 (%)
2015,2954069645289,4222114534320,69.97
2016,3325043961430,4240117939798,78.42
2017,3435912156718,4331491386330,79.32
2018,3698416649570,4821047660325,76.71
2019,3244151344435,5285046660657,61.38
2020,3315102536579,5772289014620,57.43
2021,3070248395636,6718948996032,45.7
2022,3303686219356,7538493973162,43.82
2023,3627546626400,8030324975448,45.17
