연도,총부채,자본총계,부채비율 (%)
2015,688564178322,5219368828324,13.19
2016,819933197199,5662704694368,14.48
2017,932491517423,6105650755376,15.27
2018,851366368823,6374527774875,13.36
2019,1002169326090,6838391895409,14.66
2020,1412616891338,7087028686312,19.93
2021,2229814171825,7734234462824,28.83
2022,2866186242426,9231732116548,31.05
2023,2404068442780,9642002868870,24.93
