연도,총부채,자본총계,부채비율 (%)
2015,977784819047,744807933771,131.28
2016,862453634938,734516954451,117.42
2017,868509824482,792424261654,109.6
2018,901953197486,789256471111,114.28
2019,1091444832633,822261424899,132.74
2020,1050137118495,831889474892,126.24
2021,1008469278529,928259408765,108.64
2022,915359048755,1009226682083,90.7
2023,798457731813,1100210644155,72.57
