연도,총부채,자본총계,부채비율 (%)
2015,938389810418,1809840731285,51.85
2016,822974206572,2060873199657,39.93
2017,883598310539,2410497675294,36.66
2018,907848812346,2595259392584,34.98
2019,986733418125,2872913210933,34.35
2020,1592540899881,3427580354138,46.46
2021,1623747845677,4050374686795,40.09
2022,1617448041462,4274204269789,37.84
2023,2791739989934,17125794307235,16.3
