연도,총부채,자본총계,부채비율 (%)
2015,5622114580000,2421189190000,232.2
2016,5785130162000,2503652270000,231.07
2017,6317509903000,2852476081000,221.47
2018,6991481795000,2889538538000,241.96
2019,5911354252000,3048060836000,193.94
2020,5167165003000,3160873733000,163.47
2021,7258594219000,3512139928000,206.67
2022,8118209853000,4398127078000,184.58
2023,9992986028000,6624761980000,150.84
