연도,총부채,자본총계,부채비율 (%)
2015,23330409000000,12983487000000,179.69
2016,24498527000000,13356742000000,183.42
2017,26547275000000,14673684000000,180.92
2018,28021536000000,16306907000000,171.84
2019,28434737000000,16425138000000,173.12
2020,30662102000000,17542125000000,174.79
2021,33383445000000,20098033000000,166.1
2022,32664144000000,22491997000000,145.23
2023,36742257000000,23498536000000,156.36
