연도,총부채,자본총계,부채비율 (%)
2015,,,
2016,,,
2017,1181053090473.0,696582079332.0,169.55
2018,1225244545252.0,,
2019,1413002857170.0,718706292859.0,196.6
2020,1161034163654.0,958932793232.0,121.08
2021,1388894985738.0,2053541812523.0,67.63
2022,1236777050588.0,2146698895591.0,57.61
2023,1483000847844.0,2675774055847.0,55.42
